Date,ConfirmedCases
30/10/2020,8137119
31/10/2020,8184082
01/11/2020,8229313
02/11/2020,8267623
03/11/2020,8313876
04/11/2020,8364086
05/11/2020,8411724
06/11/2020,8462080
07/11/2020,8507754
08/11/2020,8553657
09/11/2020,8591730
10/11/2020,8636011
11/11/2020,8683916
12/11/2020,8728795
13/11/2020,8773479
14/11/2020,8814579
15/11/2020,8845127
16/11/2020,8874290
17/11/2020,8912907
18/11/2020,8958483
19/11/2020,9004365
20/11/2020,9050597
21/11/2020,9095806
22/11/2020,9139865
23/11/2020,9177840
24/11/2020,9222216
25/11/2020,9266705
26/11/2020,9309787
27/11/2020,9351109
28/11/2020,9392919
29/11/2020,9431691
30/11/2020,9462809
01/12/2020,9499413
02/12/2020,9534964
03/12/2020,9571559
04/12/2020,9608211
05/12/2020,9644222
06/12/2020,9677203
07/12/2020,9703770
08/12/2020,9735850
09/12/2020,9767371
10/12/2020,9796744
11/12/2020,9826775
12/12/2020,9857029
13/12/2020,9884100
14/12/2020,9906165
15/12/2020,9932547
16/12/2020,9956557
17/12/2020,9979447
18/12/2020,10004599
19/12/2020,10031223
20/12/2020,10055560
21/12/2020,10075116
22/12/2020,10099066
23/12/2020,10123778
24/12/2020,10146845
25/12/2020,10169118
26/12/2020,10187850
27/12/2020,10207871
28/12/2020,10224303
29/12/2020,10244852
30/12/2020,10266674
31/12/2020,10266674
01/01/2021,10286709
02/01/2021,10323965
03/01/2021,10340469
04/01/2021,10356844
05/01/2021,10374932
06/01/2021,10395278
07/01/2021,10413417
08/01/2021,10413417
09/01/2021,10450284
10/01/2021,10466595
11/01/2021,10479179
12/01/2021,10495147
13/01/2021,10512093
14/01/2021,10527683
15/01/2021,10542841
16/01/2021,10557985
17/01/2021,10571773
18/01/2021,10581823
19/01/2021,10595639
20/01/2021,10610883
21/01/2021,10625428
22/01/2021,10639684
23/01/2021,10654533
24/01/2021,10667736
25/01/2021,10676838
26/01/2021,10689527
27/01/2021,10701193
28/01/2021,10720048
29/01/2021,10733130
30/01/2021,10746174
31/01/2021,10757610
01/02/2021,10766245
02/02/2021,10777284
03/02/2021,10790183
04/02/2021,10802591
05/02/2021,10814304
06/02/2021,10826363
07/02/2021,10838194
08/02/2021,10847304
09/02/2021,10858371
10/02/2021,10871294
11/02/2021,10880603
12/02/2021,10892746
13/02/2021,10904940
14/02/2021,10916589
15/02/2021,10925710
16/02/2021,10937320
17/02/2021,10950201
18/02/2021,10963394
19/02/2021,10977387
20/02/2021,10991651
21/02/2021,11005850
22/02/2021,11016434
23/02/2021,11030176
24/02/2021,11046914
25/02/2021,11063491
26/02/2021,11079979
27/02/2021,11096731
28/02/2021,11112241
01/03/2021,11124527
02/03/2021,11139516
03/03/2021,11156923
04/03/2021,11173761
05/03/2021,11192045
06/03/2021,11210799
07/03/2021,11229398
08/03/2021,11244786
09/03/2021,11262707
10/03/2021,11285561
11/03/2021,11308846
12/03/2021,11333728
13/03/2021,11359048
14/03/2021,11385339
15/03/2021,11409831
16/03/2021,11438734
17/03/2021,11474605
18/03/2021,11514331
19/03/2021,11555284
20/03/2021,11599130
21/03/2021,11646081
22/03/2021,11686796
23/03/2021,11734058
24/03/2021,11787534
25/03/2021,11846652
26/03/2021,11908910
27/03/2021,11971624
28/03/2021,12039644
29/03/2021,12095855
30/03/2021,12149335
31/03/2021,12221665
01/04/2021,12303131
02/04/2021,12392260
03/04/2021,12485509
04/04/2021,12589067
05/04/2021,12686049
06/04/2021,12801785
07/04/2021,12928574
08/04/2021,13060542
09/04/2021,13205926
10/04/2021,13358805
11/04/2021,13527717
12/04/2021,13689453
13/04/2021,13873825
14/04/2021,14074564
15/04/2021,14291917
16/04/2021,14526609
17/04/2021,14788003
18/04/2021,15061805
19/04/2021,15320972
20/04/2021,15616130
21/04/2021,15930774
22/04/2021,16263695
23/04/2021,16610481
24/04/2021,16960172
25/04/2021,17313163
26/04/2021,17636186
27/04/2021,17997113
